cal_date,open,high,low,close,volume,mkt_cap
2020-05-20,96.28,99.67,82.4,89.07,242084.44,0.0
2020-05-21,96.28,99.67,82.4,89.07,242084.44,0.0
2020-05-22,96.28,99.67,82.4,89.07,242084.44,0.0
2020-05-25,96.28,99.67,82.4,89.07,242084.44,0.0
2020-05-26,96.28,99.67,82.4,89.07,242084.44,0.0
2020-05-27,96.28,99.67,82.4,89.07,242084.44,0.0
2020-05-28,96.28,99.67,82.4,89.07,242084.44,0.0
2020-05-29,96.28,99.67,82.4,89.07,242084.44,0.0
2020-06-01,96.28,99.67,82.4,89.07,242084.44,0.0
2020-06-02,96.28,99.67,82.4,89.07,242084.44,0.0
2020-06-03,96.28,99.67,82.4,89.07,242084.44,0.0
2020-06-04,96.28,99.67,82.4,89.07,242084.44,0.0
2020-06-05,96.28,99.67,82.4,89.07,242084.44,0.0
2020-06-08,96.28,99.67,82.4,89.07,242084.44,0.0
2020-06-09,96.28,99.67,82.4,89.07,242084.44,0.0
2020-06-10,96.28,99.67,82.4,89.07,242084.44,0.0
2020-06-11,96.28,99.67,82.4,89.07,242084.44,0.0
2020-06-12,96.28,99.67,82.4,89.07,242084.44,0.0
2020-06-15,96.28,99.67,82.4,89.07,242084.44,0.0
2020-06-16,96.28,99.67,82.4,89.07,242084.44,0.0
2020-06-17,96.28,99.67,82.4,89.07,242084.44,0.0
2020-06-18,96.28,99.67,82.4,89.07,242084.44,0.0
2020-06-19,96.28,99.67,82.4,89.07,242084.44,0.0
2020-06-22,96.28,99.67,82.4,89.07,242084.44,0.0
2020-06-23,96.28,99.67,82.4,89.07,242084.44,0.0
2020-06-24,96.28,99.67,82.4,89.07,242084.44,0.0
2020-06-29,96.28,99.67,82.4,89.07,242084.44,0.0
2020-06-30,96.28,99.67,82.4,89.07,242084.44,0.0
2020-07-01,96.28,99.67,82.4,89.07,242084.44,0.0
2020-07-02,96.28,99.67,82.4,89.07,242084.44,0.0
2020-07-03,96.28,99.67,82.4,89.07,242084.44,0.0
2020-07-06,96.28,99.67,82.4,89.07,242084.44,0.0
2020-07-07,96.28,99.67,82.4,89.07,242084.44,0.0
2020-07-08,96.28,99.67,82.4,89.07,242084.44,0.0
2020-07-09,96.28,99.67,82.4,89.07,242084.44,0.0
2020-07-10,96.28,99.67,82.4,89.07,242084.44,0.0
2020-07-13,96.28,99.67,82.4,89.07,242084.44,0.0
2020-07-14,96.28,99.67,82.4,89.07,242084.44,0.0
2020-07-15,96.28,99.67,82.4,89.07,242084.44,0.0
2020-07-16,96.28,99.67,82.4,89.07,242084.44,0.0
2020-07-17,96.28,99.67,82.4,89.07,242084.44,0.0
2020-07-20,96.28,99.67,82.4,89.07,242084.44,0.0
2020-07-21,96.28,99.67,82.4,89.07,242084.44,0.0
2020-07-22,96.28,99.67,82.4,89.07,242084.44,0.0
2020-07-23,96.28,99.67,82.4,89.07,242084.44,0.0
2020-07-24,96.28,99.67,82.4,89.07,242084.44,0.0
2020-07-27,96.28,99.67,82.4,89.07,242084.44,0.0
2020-07-28,96.28,99.67,82.4,89.07,242084.44,0.0
2020-07-29,96.28,99.67,82.4,89.07,242084.44,0.0
2020-07-30,96.28,99.67,82.4,89.07,242084.44,0.0
2020-07-31,96.28,99.67,82.4,89.07,242084.44,0.0
2020-08-03,96.28,99.67,82.4,89.07,242084.44,0.0
2020-08-04,96.28,99.67,82.4,89.07,242084.44,0.0
2020-08-05,96.28,99.67,82.4,89.07,242084.44,0.0
2020-08-06,96.28,99.67,82.4,89.07,242084.44,0.0
2020-08-07,96.28,99.67,82.4,89.07,242084.44,0.0
2020-08-10,96.28,99.67,82.4,89.07,242084.44,0.0
2020-08-11,96.28,99.67,82.4,89.07,242084.44,0.0
2020-08-12,96.28,99.67,82.4,89.07,242084.44,0.0
2020-08-13,96.28,99.67,82.4,89.07,242084.44,0.0
2020-08-14,96.28,99.67,82.4,89.07,242084.44,0.0
2020-08-17,96.28,99.67,82.4,89.07,242084.44,0.0
2020-08-18,96.28,99.67,82.4,89.07,242084.44,0.0
2020-08-19,96.28,99.67,82.4,89.07,242084.44,0.0
2020-08-20,96.28,99.67,82.4,89.07,242084.44,0.0
2020-08-21,96.28,99.67,82.4,89.07,242084.44,0.0
2020-08-24,96.28,99.67,82.4,89.07,242084.44,0.0
2020-08-25,96.28,99.67,82.4,89.07,242084.44,0.0
2020-08-26,96.28,99.67,82.4,89.07,242084.44,0.0
2020-08-27,96.28,99.67,82.4,89.07,242084.44,0.0
2020-08-28,96.28,99.67,82.4,89.07,242084.44,0.0
2020-08-31,96.28,99.67,82.4,89.07,242084.44,0.0
2020-09-01,96.28,99.67,82.4,89.07,242084.44,0.0
2020-09-02,96.28,99.67,82.4,89.07,242084.44,0.0
2020-09-03,96.28,99.67,82.4,89.07,242084.44,0.0
2020-09-04,96.28,99.67,82.4,89.07,242084.44,0.0
2020-09-07,96.28,99.67,82.4,89.07,242084.44,0.0
2020-09-08,96.28,99.67,82.4,89.07,242084.44,0.0
2020-09-09,96.28,99.67,82.4,89.07,242084.44,0.0
2020-09-10,96.28,99.67,82.4,89.07,242084.44,0.0
2020-09-11,96.28,99.67,82.4,89.07,242084.44,0.0
2020-09-14,96.28,99.67,82.4,89.07,242084.44,0.0
2020-09-15,96.28,99.67,82.4,89.07,242084.44,0.0
2020-09-16,96.28,99.67,82.4,89.07,242084.44,0.0
2020-09-17,96.28,99.67,82.4,89.07,242084.44,0.0
2020-09-18,96.28,99.67,82.4,89.07,242084.44,0.0
2020-09-21,96.28,99.67,82.4,89.07,242084.44,0.0
2020-09-22,96.28,99.67,82.4,89.07,242084.44,0.0
2020-09-23,96.28,99.67,82.4,89.07,242084.44,0.0
2020-09-24,96.28,99.67,82.4,89.07,242084.44,0.0
2020-09-25,96.28,99.67,82.4,89.07,242084.44,0.0
2020-09-28,96.28,99.67,82.4,89.07,242084.44,0.0
2020-09-29,96.28,99.67,82.4,89.07,242084.44,0.0
2020-09-30,96.28,99.67,82.4,89.07,242084.44,0.0
2020-10-09,96.28,99.67,82.4,89.07,242084.44,0.0
2020-10-12,96.28,99.67,82.4,89.07,242084.44,0.0
2020-10-13,96.28,99.67,82.4,89.07,242084.44,0.0
2020-10-14,96.28,99.67,82.4,89.07,242084.44,0.0
2020-10-15,96.28,99.67,82.4,89.07,242084.44,0.0
2020-10-16,96.28,99.67,82.4,89.07,242084.44,0.0
2020-10-19,96.28,99.67,82.4,89.07,242084.44,0.0
2020-10-20,96.28,99.67,82.4,89.07,242084.44,0.0
2020-10-21,96.28,99.67,82.4,89.07,242084.44,0.0
2020-10-22,96.28,99.67,82.4,89.07,242084.44,0.0
2020-10-23,96.28,99.67,82.4,89.07,242084.44,0.0
2020-10-26,96.28,99.67,82.4,89.07,242084.44,0.0
2020-10-27,96.28,99.67,82.4,89.07,242084.44,0.0
2020-10-28,96.28,99.67,82.4,89.07,242084.44,0.0
2020-10-29,96.28,99.67,82.4,89.07,242084.44,0.0
2020-10-30,96.28,99.67,82.4,89.07,242084.44,0.0
2020-11-02,96.28,99.67,82.4,89.07,242084.44,0.0
2020-11-03,96.28,99.67,82.4,89.07,242084.44,0.0
2020-11-04,96.28,99.67,82.4,89.07,242084.44,0.0
2020-11-05,96.28,99.67,82.4,89.07,242084.44,0.0
2020-11-06,96.28,99.67,82.4,89.07,242084.44,0.0
2020-11-09,96.28,99.67,82.4,89.07,242084.44,0.0
2020-11-10,96.28,99.67,82.4,89.07,242084.44,0.0
2020-11-11,96.28,99.67,82.4,89.07,242084.44,0.0
2020-11-12,96.28,99.67,82.4,89.07,242084.44,0.0
2020-11-13,96.28,99.67,82.4,89.07,242084.44,0.0
2020-11-16,96.28,99.67,82.4,89.07,242084.44,0.0
2020-11-17,96.28,99.67,82.4,89.07,242084.44,0.0
2020-11-18,96.28,99.67,82.4,89.07,242084.44,0.0
2020-11-19,96.28,99.67,82.4,89.07,242084.44,0.0
2020-11-20,96.28,99.67,82.4,89.07,242084.44,0.0
2020-11-23,96.28,99.67,82.4,89.07,242084.44,0.0
2020-11-24,96.28,99.67,82.4,89.07,242084.44,0.0
2020-11-25,96.28,99.67,82.4,89.07,242084.44,0.0
2020-11-26,96.28,99.67,82.4,89.07,242084.44,0.0
2020-11-27,96.28,99.67,82.4,89.07,242084.44,0.0
2020-11-30,96.28,99.67,82.4,89.07,242084.44,0.0
2020-12-01,96.28,99.67,82.4,89.07,242084.44,0.0
2020-12-02,96.28,99.67,82.4,89.07,242084.44,0.0
2020-12-03,96.28,99.67,82.4,89.07,242084.44,0.0
2020-12-04,96.28,99.67,82.4,89.07,242084.44,0.0
2020-12-07,96.28,99.67,82.4,89.07,242084.44,0.0
2020-12-08,96.28,99.67,82.4,89.07,242084.44,0.0
2020-12-09,96.28,99.67,82.4,89.07,242084.44,0.0
2020-12-10,96.28,99.67,82.4,89.07,242084.44,0.0
2020-12-11,96.28,99.67,82.4,89.07,242084.44,0.0
2020-12-14,96.28,99.67,82.4,89.07,242084.44,0.0
2020-12-15,96.28,99.67,82.4,89.07,242084.44,0.0
2020-12-16,96.28,99.67,82.4,89.07,242084.44,0.0
2020-12-17,96.28,99.67,82.4,89.07,242084.44,0.0
2020-12-18,96.28,99.67,82.4,89.07,242084.44,0.0
2020-12-21,96.28,99.67,82.4,89.07,242084.44,0.0
2020-12-22,96.28,99.67,82.4,89.07,242084.44,0.0
2020-12-23,96.28,99.67,82.4,89.07,242084.44,0.0
2020-12-24,96.28,99.67,82.4,89.07,242084.44,0.0
2020-12-25,96.28,99.67,82.4,89.07,242084.44,0.0
2020-12-28,96.28,99.67,82.4,89.07,242084.44,0.0
2020-12-29,96.28,99.67,82.4,89.07,242084.44,0.0
2020-12-30,96.28,99.67,82.4,89.07,242084.44,0.0
2020-12-31,96.28,99.67,82.4,89.07,242084.44,0.0
2021-01-04,96.28,99.67,82.4,89.07,242084.44,0.0
2021-01-05,96.28,99.67,82.4,89.07,242084.44,0.0
2021-01-06,96.28,99.67,82.4,89.07,242084.44,0.0
2021-01-07,96.28,99.67,82.4,89.07,242084.44,0.0
2021-01-08,96.28,99.67,82.4,89.07,242084.44,0.0
2021-01-11,96.28,99.67,82.4,89.07,242084.44,0.0
2021-01-12,96.28,99.67,82.4,89.07,242084.44,0.0
2021-01-13,96.28,99.67,82.4,89.07,242084.44,0.0
2021-01-14,96.28,99.67,82.4,89.07,242084.44,0.0
2021-01-15,96.28,99.67,82.4,89.07,242084.44,0.0
2021-01-18,96.28,99.67,82.4,89.07,242084.44,0.0
2021-01-19,96.28,99.67,82.4,89.07,242084.44,0.0
2021-01-20,96.28,99.67,82.4,89.07,242084.44,0.0
2021-01-21,96.28,99.67,82.4,89.07,242084.44,0.0
2021-01-22,96.28,99.67,82.4,89.07,242084.44,0.0
2021-01-25,96.28,99.67,82.4,89.07,242084.44,0.0
2021-01-26,96.28,99.67,82.4,89.07,242084.44,0.0
2021-01-27,96.28,99.67,82.4,89.07,242084.44,0.0
2021-01-28,96.28,99.67,82.4,89.07,242084.44,0.0
2021-01-29,96.28,99.67,82.4,89.07,242084.44,0.0
2021-02-01,96.28,99.67,82.4,89.07,242084.44,0.0
2021-02-02,96.28,99.67,82.4,89.07,242084.44,0.0
2021-02-03,96.28,99.67,82.4,89.07,242084.44,0.0
2021-02-04,96.28,99.67,82.4,89.07,242084.44,0.0
2021-02-05,96.28,99.67,82.4,89.07,242084.44,0.0
2021-02-08,96.28,99.67,82.4,89.07,242084.44,0.0
2021-02-09,96.28,99.67,82.4,89.07,242084.44,0.0
2021-02-10,96.28,99.67,82.4,89.07,242084.44,0.0
2021-02-18,96.28,99.67,82.4,89.07,242084.44,0.0
2021-02-19,96.28,99.67,82.4,89.07,242084.44,0.0
2021-02-22,96.28,99.67,82.4,89.07,242084.44,0.0
2021-02-23,96.28,99.67,82.4,89.07,242084.44,0.0
2021-02-24,96.28,99.67,82.4,89.07,242084.44,0.0
2021-02-25,96.28,99.67,82.4,89.07,242084.44,0.0
2021-02-26,96.28,99.67,82.4,89.07,242084.44,0.0
2021-03-01,96.28,99.67,82.4,89.07,242084.44,0.0
2021-03-02,96.28,99.67,82.4,89.07,242084.44,0.0
2021-03-03,96.28,99.67,82.4,89.07,242084.44,0.0
2021-03-04,96.28,99.67,82.4,89.07,242084.44,0.0
2021-03-05,96.28,99.67,82.4,89.07,242084.44,0.0
2021-03-08,96.28,99.67,82.4,89.07,242084.44,0.0
2021-03-09,96.28,99.67,82.4,89.07,242084.44,0.0
2021-03-10,96.28,99.67,82.4,89.07,242084.44,0.0
2021-03-11,96.28,99.67,82.4,89.07,242084.44,0.0
2021-03-12,96.28,99.67,82.4,89.07,242084.44,0.0
2021-03-15,96.28,99.67,82.4,89.07,242084.44,0.0
2021-03-16,96.28,99.67,82.4,89.07,242084.44,0.0
2021-03-17,96.28,99.67,82.4,89.07,242084.44,0.0
2021-03-18,96.28,99.67,82.4,89.07,242084.44,0.0
2021-03-19,96.28,99.67,82.4,89.07,242084.44,0.0
2021-03-22,96.28,99.67,82.4,89.07,242084.44,0.0
2021-03-23,96.28,99.67,82.4,89.07,242084.44,0.0
2021-03-24,96.28,99.67,82.4,89.07,242084.44,0.0
2021-03-25,96.28,99.67,82.4,89.07,242084.44,0.0
2021-03-26,96.28,99.67,82.4,89.07,242084.44,0.0
2021-03-29,96.28,99.67,82.4,89.07,242084.44,0.0
2021-03-30,96.28,99.67,82.4,89.07,242084.44,0.0
2021-03-31,96.28,99.67,82.4,89.07,242084.44,0.0
2021-04-01,96.28,99.67,82.4,89.07,242084.44,0.0
2021-04-02,96.28,99.67,82.4,89.07,242084.44,0.0
2021-04-06,96.28,99.67,82.4,89.07,242084.44,0.0
2021-04-07,96.28,99.67,82.4,89.07,242084.44,0.0
2021-04-08,96.28,99.67,82.4,89.07,242084.44,0.0
2021-04-09,96.28,99.67,82.4,89.07,242084.44,0.0
2021-04-12,96.28,99.67,82.4,89.07,242084.44,0.0
2021-04-13,96.28,99.67,82.4,89.07,242084.44,0.0
2021-04-14,96.28,99.67,82.4,89.07,242084.44,0.0
2021-04-15,96.28,99.67,82.4,89.07,242084.44,0.0
2021-04-16,96.28,99.67,82.4,89.07,242084.44,0.0
2021-04-19,96.28,99.67,82.4,89.07,242084.44,0.0
2021-04-20,96.28,99.67,82.4,89.07,242084.44,0.0
2021-04-21,96.28,99.67,82.4,89.07,242084.44,0.0
2021-04-22,96.28,99.67,82.4,89.07,242084.44,0.0
2021-04-23,96.28,99.67,82.4,89.07,242084.44,0.0
2021-04-26,96.28,99.67,82.4,89.07,242084.44,0.0
2021-04-27,96.28,99.67,82.4,89.07,242084.44,0.0
2021-04-28,96.28,99.67,82.4,89.07,242084.44,0.0
2021-04-29,96.28,99.67,82.4,89.07,242084.44,0.0
2021-04-30,96.28,99.67,82.4,89.07,242084.44,0.0
2021-05-06,96.28,99.67,82.4,89.07,242084.44,0.0
2021-05-07,96.28,99.67,82.4,89.07,242084.44,0.0
2021-05-10,96.28,99.67,82.4,89.07,242084.44,0.0
2021-05-11,96.28,99.67,82.4,89.07,242084.44,0.0
2021-05-12,96.28,99.67,82.4,89.07,242084.44,0.0
2021-05-13,96.28,99.67,82.4,89.07,242084.44,0.0
2021-05-14,96.28,99.67,82.4,89.07,242084.44,0.0
2021-05-17,96.28,99.67,82.4,89.07,242084.44,0.0
2021-05-18,96.28,99.67,82.4,89.07,242084.44,0.0
2021-05-19,96.28,99.67,82.4,89.07,242084.44,0.0
2021-05-20,96.28,99.67,82.4,89.07,242084.44,0.0
2021-05-21,96.28,99.67,82.4,89.07,242084.44,0.0
2021-05-24,96.28,99.67,82.4,89.07,242084.44,0.0
2021-05-25,96.28,99.67,82.4,89.07,242084.44,0.0
2021-05-26,96.28,99.67,82.4,89.07,242084.44,0.0
2021-05-27,96.28,99.67,82.4,89.07,242084.44,0.0
2021-05-28,96.28,99.67,82.4,89.07,242084.44,0.0
2021-05-31,96.28,99.67,82.4,89.07,242084.44,0.0
2021-06-01,96.28,99.67,82.4,89.07,242084.44,0.0
2021-06-02,96.28,99.67,82.4,89.07,242084.44,0.0
2021-06-03,96.28,99.67,82.4,89.07,242084.44,0.0
2021-06-04,96.28,99.67,82.4,89.07,242084.44,0.0
2021-06-07,96.28,99.67,82.4,89.07,242084.44,0.0
2021-06-08,96.28,99.67,82.4,89.07,242084.44,0.0
2021-06-09,96.28,99.67,82.4,89.07,242084.44,0.0
2021-06-10,96.28,99.67,82.4,89.07,242084.44,0.0
2021-06-11,96.28,99.67,82.4,89.07,242084.44,0.0
2021-06-15,96.28,99.67,82.4,89.07,242084.44,0.0
2021-06-16,96.28,99.67,82.4,89.07,242084.44,0.0
2021-06-17,96.28,99.67,82.4,89.07,242084.44,0.0
2021-06-18,96.28,99.67,82.4,89.07,242084.44,0.0
2021-06-21,96.28,99.67,82.4,89.07,242084.44,0.0
2021-06-22,96.28,99.67,82.4,89.07,242084.44,0.0
2021-06-23,96.28,99.67,82.4,89.07,242084.44,0.0
2021-06-24,96.28,99.67,82.4,89.07,242084.44,0.0
2021-06-25,96.28,99.67,82.4,89.07,242084.44,0.0
2021-06-28,96.28,99.67,82.4,89.07,242084.44,0.0
2021-06-29,96.28,99.67,82.4,89.07,242084.44,0.0
2021-06-30,96.28,99.67,82.4,89.07,242084.44,0.0
2021-07-01,96.28,99.67,82.4,89.07,242084.44,0.0
2021-07-02,96.28,99.67,82.4,89.07,242084.44,0.0
2021-07-05,96.28,99.67,82.4,89.07,242084.44,0.0
2021-07-06,96.28,99.67,82.4,89.07,242084.44,0.0
2021-07-07,96.28,99.67,82.4,89.07,242084.44,0.0
2021-07-08,96.28,99.67,82.4,89.07,242084.44,0.0
2021-07-09,96.28,99.67,82.4,89.07,242084.44,0.0
2021-07-12,96.28,99.67,82.4,89.07,242084.44,0.0
2021-07-13,96.28,99.67,82.4,89.07,242084.44,0.0
2021-07-14,96.28,99.67,82.4,89.07,242084.44,0.0
2021-07-15,96.28,99.67,82.4,89.07,242084.44,0.0
2021-07-16,96.28,99.67,82.4,89.07,242084.44,0.0
2021-07-19,96.28,99.67,82.4,89.07,242084.44,0.0
2021-07-20,96.28,99.67,82.4,89.07,242084.44,0.0
2021-07-21,96.28,99.67,82.4,89.07,242084.44,0.0
2021-07-22,96.28,99.67,82.4,89.07,242084.44,0.0
2021-07-23,96.28,99.67,82.4,89.07,242084.44,0.0
2021-07-26,96.28,99.67,82.4,89.07,242084.44,0.0
2021-07-27,96.28,99.67,82.4,89.07,242084.44,0.0
2021-07-28,96.28,99.67,82.4,89.07,242084.44,0.0
2021-07-29,96.28,99.67,82.4,89.07,242084.44,0.0
2021-07-30,96.28,99.67,82.4,89.07,242084.44,0.0
2021-08-02,96.28,99.67,82.4,89.07,242084.44,0.0
2021-08-03,96.28,99.67,82.4,89.07,242084.44,0.0
2021-08-04,96.28,99.67,82.4,89.07,242084.44,0.0
2021-08-05,96.28,99.67,82.4,89.07,242084.44,0.0
2021-08-06,96.28,99.67,82.4,89.07,242084.44,0.0
2021-08-09,96.28,99.67,82.4,89.07,242084.44,0.0
2021-08-10,96.28,99.67,82.4,89.07,242084.44,0.0
2021-08-11,96.28,99.67,82.4,89.07,242084.44,0.0
2021-08-12,96.28,99.67,82.4,89.07,242084.44,0.0
2021-08-13,96.28,99.67,82.4,89.07,242084.44,0.0
2021-08-16,96.28,99.67,82.4,89.07,242084.44,0.0
2021-08-17,96.28,99.67,82.4,89.07,242084.44,0.0
2021-08-18,96.28,99.67,82.4,89.07,242084.44,0.0
2021-08-19,96.28,99.67,82.4,89.07,242084.44,0.0
2021-08-20,96.28,99.67,82.4,89.07,242084.44,0.0
2021-08-23,96.28,99.67,82.4,89.07,242084.44,0.0
2021-08-24,96.28,99.67,82.4,89.07,242084.44,0.0
2021-08-25,96.28,99.67,82.4,89.07,242084.44,0.0
2021-08-26,96.28,99.67,82.4,89.07,242084.44,0.0
2021-08-27,96.28,99.67,82.4,89.07,242084.44,0.0
2021-08-30,96.28,99.67,82.4,89.07,242084.44,0.0
2021-08-31,96.28,99.67,82.4,89.07,242084.44,0.0
2021-09-01,96.28,99.67,82.4,89.07,242084.44,0.0
2021-09-02,96.28,99.67,82.4,89.07,242084.44,0.0
2021-09-03,96.28,99.67,82.4,89.07,242084.44,0.0
2021-09-06,96.28,99.67,82.4,89.07,242084.44,0.0
2021-09-07,96.28,99.67,82.4,89.07,242084.44,0.0
2021-09-08,96.28,99.67,82.4,89.07,242084.44,0.0
2021-09-09,96.28,99.67,82.4,89.07,242084.44,0.0
2021-09-10,96.28,99.67,82.4,89.07,242084.44,0.0
2021-09-13,96.28,99.67,82.4,89.07,242084.44,0.0
2021-09-14,96.28,99.67,82.4,89.07,242084.44,0.0
2021-09-15,96.28,99.67,82.4,89.07,242084.44,0.0
2021-09-16,96.28,99.67,82.4,89.07,242084.44,0.0
2021-09-17,96.28,99.67,82.4,89.07,242084.44,0.0
2021-09-22,96.28,99.67,82.4,89.07,242084.44,0.0
2021-09-23,96.28,99.67,82.4,89.07,242084.44,0.0
2021-09-24,96.28,99.67,82.4,89.07,242084.44,0.0
2021-09-27,96.28,99.67,82.4,89.07,242084.44,0.0
2021-09-28,96.28,99.67,82.4,89.07,242084.44,0.0
2021-09-29,96.28,99.67,82.4,89.07,242084.44,0.0
2021-09-30,96.28,99.67,82.4,89.07,242084.44,0.0
2021-10-08,96.28,99.67,82.4,89.07,242084.44,0.0
2021-10-11,96.28,99.67,82.4,89.07,242084.44,0.0
2021-10-12,96.28,99.67,82.4,89.07,242084.44,0.0
2021-10-13,96.28,99.67,82.4,89.07,242084.44,0.0
2021-10-14,96.28,99.67,82.4,89.07,242084.44,0.0
2021-10-15,96.28,99.67,82.4,89.07,242084.44,0.0
2021-10-18,96.28,99.67,82.4,89.07,242084.44,0.0
2021-10-19,96.28,99.67,82.4,89.07,242084.44,0.0
2021-10-20,96.28,99.67,82.4,89.07,242084.44,0.0
2021-10-21,96.28,99.67,82.4,89.07,242084.44,0.0
2021-10-22,96.28,99.67,82.4,89.07,242084.44,0.0
2021-10-25,96.28,99.67,82.4,89.07,242084.44,0.0
2021-10-26,96.28,99.67,82.4,89.07,242084.44,0.0
2021-10-27,96.28,99.67,82.4,89.07,242084.44,0.0
2021-10-28,96.28,99.67,82.4,89.07,242084.44,0.0
2021-10-29,96.28,99.67,82.4,89.07,242084.44,0.0
2021-11-01,96.28,99.67,82.4,89.07,242084.44,0.0
2021-11-02,96.28,99.67,82.4,89.07,242084.44,0.0
2021-11-03,96.28,99.67,82.4,89.07,242084.44,0.0
2021-11-04,96.28,99.67,82.4,89.07,242084.44,0.0
2021-11-05,96.28,99.67,82.4,89.07,242084.44,0.0
2021-11-08,96.28,99.67,82.4,89.07,242084.44,0.0
2021-11-09,96.28,99.67,82.4,89.07,242084.44,0.0
2021-11-10,96.28,99.67,82.4,89.07,242084.44,0.0
2021-11-11,96.28,99.67,82.4,89.07,242084.44,0.0
2021-11-12,96.28,99.67,82.4,89.07,242084.44,0.0
2021-11-15,96.28,99.67,82.4,89.07,242084.44,0.0
2021-11-16,96.28,99.67,82.4,89.07,242084.44,0.0
2021-11-17,96.28,99.67,82.4,89.07,242084.44,0.0
2021-11-18,96.28,99.67,82.4,89.07,242084.44,0.0
2021-11-19,96.28,99.67,82.4,89.07,242084.44,0.0
2021-11-22,96.28,99.67,82.4,89.07,242084.44,0.0
2021-11-23,96.28,99.67,82.4,89.07,242084.44,0.0
2021-11-24,96.28,99.67,82.4,89.07,242084.44,0.0
2021-11-25,96.28,99.67,82.4,89.07,242084.44,0.0
2021-11-26,96.28,99.67,82.4,89.07,242084.44,0.0
2021-11-29,96.28,99.67,82.4,89.07,242084.44,0.0
2021-11-30,96.28,99.67,82.4,89.07,242084.44,0.0
2021-12-01,96.28,99.67,82.4,89.07,242084.44,0.0
2021-12-02,96.28,99.67,82.4,89.07,242084.44,0.0
2021-12-03,96.28,99.67,82.4,89.07,242084.44,0.0
2021-12-06,96.28,99.67,82.4,89.07,242084.44,0.0
2021-12-07,96.28,99.67,82.4,89.07,242084.44,0.0
2021-12-08,96.28,99.67,82.4,89.07,242084.44,0.0
2021-12-09,96.28,99.67,82.4,89.07,242084.44,0.0
2021-12-10,96.28,99.67,82.4,89.07,242084.44,0.0
2021-12-13,96.28,99.67,82.4,89.07,242084.44,0.0
2021-12-14,96.28,99.67,82.4,89.07,242084.44,0.0
2021-12-15,96.28,99.67,82.4,89.07,242084.44,0.0
2021-12-16,96.28,99.67,82.4,89.07,242084.44,0.0
2021-12-17,96.28,99.67,82.4,89.07,242084.44,0.0
2021-12-20,96.28,99.67,82.4,89.07,242084.44,0.0
2021-12-21,96.28,99.67,82.4,89.07,242084.44,0.0
2021-12-22,96.28,99.67,82.4,89.07,242084.44,0.0
2021-12-23,96.28,99.67,82.4,89.07,242084.44,0.0
2021-12-24,96.28,99.67,82.4,89.07,242084.44,0.0
2021-12-27,96.28,99.67,82.4,89.07,242084.44,0.0
2021-12-28,96.28,99.67,82.4,89.07,242084.44,0.0
2021-12-29,96.28,99.67,82.4,89.07,242084.44,0.0
2021-12-30,96.28,99.67,82.4,89.07,242084.44,0.0
2021-12-31,96.28,99.67,82.4,89.07,242084.44,0.0
2022-01-04,96.28,99.67,82.4,89.07,242084.44,0.0
2022-01-05,96.28,99.67,82.4,89.07,242084.44,0.0
2022-01-06,96.28,99.67,82.4,89.07,242084.44,0.0
2022-01-07,96.28,99.67,82.4,89.07,242084.44,0.0
2022-01-10,96.28,99.67,82.4,89.07,242084.44,0.0
2022-01-11,96.28,99.67,82.4,89.07,242084.44,0.0
2022-01-12,96.28,99.67,82.4,89.07,242084.44,0.0
2022-01-13,96.28,99.67,82.4,89.07,242084.44,0.0
2022-01-14,96.28,99.67,82.4,89.07,242084.44,0.0
2022-01-17,96.28,99.67,82.4,89.07,242084.44,0.0
2022-01-18,96.28,99.67,82.4,89.07,242084.44,0.0
2022-01-19,96.28,99.67,82.4,89.07,242084.44,0.0
2022-01-20,96.28,99.67,82.4,89.07,242084.44,0.0
2022-01-21,96.28,99.67,82.4,89.07,242084.44,0.0
2022-01-24,96.28,99.67,82.4,89.07,242084.44,0.0
2022-01-25,96.28,99.67,82.4,89.07,242084.44,0.0
2022-01-26,96.28,99.67,82.4,89.07,242084.44,0.0
2022-01-27,96.28,99.67,82.4,89.07,242084.44,0.0
2022-01-28,96.28,99.67,82.4,89.07,242084.44,0.0
2022-02-07,96.28,99.67,82.4,89.07,242084.44,0.0
2022-02-08,96.28,99.67,82.4,89.07,242084.44,0.0
2022-02-09,96.28,99.67,82.4,89.07,242084.44,0.0
2022-02-10,96.28,99.67,82.4,89.07,242084.44,0.0
2022-02-11,96.28,99.67,82.4,89.07,242084.44,0.0
2022-02-14,96.28,99.67,82.4,89.07,242084.44,0.0
2022-02-15,96.28,99.67,82.4,89.07,242084.44,0.0
2022-02-16,96.28,99.67,82.4,89.07,242084.44,0.0
2022-02-17,96.28,99.67,82.4,89.07,242084.44,0.0
2022-02-18,96.28,99.67,82.4,89.07,242084.44,0.0
2022-02-21,96.28,99.67,82.4,89.07,242084.44,0.0
2022-02-22,96.28,99.67,82.4,89.07,242084.44,0.0
2022-02-23,96.28,99.67,82.4,89.07,242084.44,0.0
2022-02-24,96.28,99.67,82.4,89.07,242084.44,0.0
2022-02-25,96.28,99.67,82.4,89.07,242084.44,0.0
2022-02-28,96.28,99.67,82.4,89.07,242084.44,0.0
2022-03-01,96.28,99.67,82.4,89.07,242084.44,0.0
2022-03-02,96.28,99.67,82.4,89.07,242084.44,0.0
2022-03-03,96.28,99.67,82.4,89.07,242084.44,0.0
2022-03-04,96.28,99.67,82.4,89.07,242084.44,0.0
